Variable,Description,label_values,label_description
ext2,,"Other","Other"
ext2,,"Plywood","Plywood"
ext2,,"PreCast","PreCast"
ext2,,"Stone","Stone"
ext2,,"Stucco","Stucco"
ext2,,"VinylSd","Vinyl Siding"
ext2,,"Wd Sdng","Wood Siding"
ext2,,"WdShing","Wood Shingles"
masvnrtype,"Masonry veneer type.",,
masvnrtype,,"BrkCmn","Brick Common"
masvnrtype,,"BrkFace","Brick Face"
masvnrtype,,"CBlock","Cinder Block"
masvnrtype,,"None","None"
masvnrtype,,"Stone","Stone"
masvnrarea,"Masonry veneer area in square feet.",,
exterqual,"Evaluates the quality of the material on the exterior.",,
exterqual,,"Ex","Excellent"
exterqual,,"Gd","Good"
exterqual,,"TA","Average/Typical"
exterqual,,"Fa","Fair"
exterqual,,"Po","Poor"
extercond,"Evaluates the present condition of the material on the exterior.",,
extercond,,"Ex","Excellent"
extercond,,"Gd","Good"
extercond,,"TA","Average/Typical"
extercond,,"Fa","Fair"
extercond,,"Po","Poor"
foundation,"Type of foundation.",,
foundation,,"BrkTil","Brick & Tile"
foundation,,"CBlock","Cinder Block"
foundation,,"PConc","Poured Concrete"
foundation,,"Slab","Slab"
foundation,,"Stone","Stone"
foundation,,"Wood","Wood"
bsmtqual,"Evaluates the height of the basement.",,
bsmtqual,,"Ex","Excellent (100+ inches)"
bsmtqual,,"Gd","Good (90-99 inches)"
bsmtqual,,"TA","Typical (80-89 inches)"
bsmtqual,,"Fa","Fair (70-79 inches)"
bsmtqual,,"Po","Poor (<70 inches)"
bsmtqual,,"NA","No Basement"
bsmtcond,"Evaluates the general condition of the basement.",,
bsmtcond,,"Ex","Excellent"
bsmtcond,,"Gd","Good"
bsmtcond,,"TA","Typical - slight dampness allowed"
bsmtcond,,"Fa","Fair - dampness or some cracking or settling"
bsmtcond,,"Po","Poor - Severe cracking, settling, or wetness"
bsmtcond,,"NA","No Basement"
bsmtexposure,"Refers to walkout or garden level walls.",,
bsmtexposure,,"Gd","Good Exposure"
bsmtexposure,,"Av","Average Exposure"
bsmtexposure,,"Mn","Minimum Exposure"
bsmtexposure,,"No","No Exposure"
bsmtexposure,,"NA","No Basement"
bsmtfintype1,"Rating of basement finished area.",,
bsmtfintype1,,"GLQ","Good Living Quarters"
bsmtfintype1,,"ALQ","Average Living Quarters"
bsmtfintype1,,"BLQ","Below Average Living Quarters"
bsmtfintype1,,"Rec","Average Rec Room"
bsmtfintype1,,"LwQ","Low Quality"
bsmtfintype1,,"Unf","Unfinished"
bsmtfintype1,,"NA","No Basement"
bsmtfinsf1,"Type 1 finished square feet.",,
bsmtfintype2,"Rating of basement finished area (if multiple types).",,
bsmtfintype2,,"GLQ","Good Living Quarters"
bsmtfintype2,,"ALQ","Average Living Quarters"
bsmtfintype2,,"BLQ","Below Average Living Quarters"
bsmtfintype2,,"Rec","Average Rec Room"
bsmtfintype2,,"LwQ","Low Quality"
bsmtfintype2,,"Unf","Unfinished"
bsmtfintype2,,"NA","No Basement"
bsmtfinsf2,"Type 2 finished square feet.",,
bsmtunfsf,"Unfinished square feet of basement area.",,
totalbsmtsf,"Total square feet of basement area.",,
heating,"Type of heating.",,
heating,,"Floor","Floor Furnace"
heating,,"GasA","Gas forced warm air furnace"
heating,,"GasW","Gas hot water or steam heat"
heating,,"Grav","Gravity furnace"
heating,,"OthW","Hot water or steam heat other than gas"
heating,,"Wall","Wall furnace"
heatingqc,"Heating quality and condition.",,
heatingqc,,"Ex","Excellent"
heatingqc,,"Gd","Good"
heatingqc,,"TA","Average/Typical"
heatingqc,,"Fa","Fair"
heatingqc,,"Po","Poor"
centralair,"Central air conditioning.",,
centralair,,"N","No"
centralair,,"Y","Yes"
electrical,"Electrical system.",,
electrical,,"SBrkr","Standard Circuit Breakers & Romex"
electrical,,"FuseA","Fuse Box over 60 AMP and all Romex wiring (Average)"
electrical,,"FuseF","60 AMP Fuse Box and mostly Romex wiring (Fair)"
electrical,,"FuseP","60 AMP Fuse Box and mostly knob & tube wiring (Poor)"
electrical,,"Mix","Mixed"
1stflrsf,"First floor square feet.",,
2ndflrsf,"Second floor square feet.",,
lowqualfinsf,"Low quality finished square feet (all floors).",,
grlivarea,"Above grade (ground) living area square feet.",,
bsmtfullbath,"Basement full bathrooms.",,
bsmthalfbath,"Basement half bathrooms.",,
fullbath,"Full bathrooms above grade.",,
halfbath,"Half baths above grade.",,
bedroomabvgr,"Bedrooms above grade (does NOT include basement bedrooms).",,
kitchenabvgr,"Kitchens above grade.",,
kitchenqual,"Kitchen quality.",,
kitchenqual,,"Ex","Excellent"
kitchenqual,,"Gd","Good"
kitchenqual,,"TA","Typical/Average"
kitchenqual,,"Fa","Fair"
kitchenqual,,"Po","Poor"
totrmsabvgrd,"Total rooms above grade (does not include bathrooms).",,
functional,"Home functionality (assume typical unless deductions are warranted).",,
functional,,"Typ","Typical Functionality"
functional,,"Min1","Minor Deductions 1"
functional,,"Min2","Minor Deductions 2"
functional,,"Mod","Moderate Deductions"
functional,,"Maj1","Major Deductions 1"
functional,,"Maj2","Major Deductions 2"
functional,,"Sev","Severely Damaged"
functional,,"Sal","Salvage only"
fireplaces,"Number of fireplaces.",,
fireplacequ,"Fireplace quality.",,
fireplacequ,,"Ex","Excellent - Exceptional Masonry Fireplace"
fireplacequ,,"Gd","Good - Masonry Fireplace in main level"
fireplacequ,,"TA","Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement"
fireplacequ,,"Fa","Fair - Prefabricated Fireplace in basement"
fireplacequ,,"Po","Poor - Ben Franklin Stove"
fireplacequ,,"NA","No Fireplace"
garagetype,"Garage location.",,
garagetype,,"2Types","More than one type of garage"
garagetype,,"Attchd","Attached to home"
garagetype,,"Basment","Basement Garage"
garagetype,,"BuiltIn","Built-In (Garage part of house - typically has room above garage)"
garagetype,,"CarPort","Car Port"
garagetype,,"Detchd","Detached from home"
garagetype,,"NA","No Garage"
garageyrblt,"Year garage was built.",,
garagefinish,"Interior finish of the garage.",,
garagefinish,,"Fin","Finished"
garagefinish,,"RFn","Rough Finished"
garagefinish,,"Unf","Unfinished"
garagefinish,,"NA","No Garage"
garagecars,"Size of garage in car capacity.",,
garagearea,"Size of garage in square feet.",,
garagequal,"Garage quality.",,
garagequal,,"Ex","Excellent"
garagequal,,"Gd","Good"
garagequal,,"TA","Typical/Average"
garagequal,,"Fa","Fair"
garagequal,,"Po","Poor"
garagequal,,"NA","No Garage"
garagecond,"Garage condition.",,
garagecond,,"Ex","Excellent"
garagecond,,"Gd","Good"
garagecond,,"TA","Typical/Average"
garagecond,,"Fa","Fair"
garagecond,,"Po","Poor"
garagecond,,"NA","No Garage"
paveddrive,"Paved driveway.",,
paveddrive,,"Y","Paved"
paveddrive,,"P","Partial Pavement"
paveddrive,,"N","Dirt/Gravel"
wooddecksf,"Wood deck area in square feet.",,
openporchsf,"Open porch area in square feet.",,
enclosedporch,"Enclosed porch area in square feet.",,
3ssnporch,"Three season porch area in square feet.",,
screenporch,"Screen porch area in square feet.",,
poolarea,"Pool area in square feet.",,
poolqc,"Pool quality.",,
poolqc,,"Ex","Excellent"
poolqc,,"Gd","Good"
poolqc,,"TA","Average/Typical"
poolqc,,"Fa","Fair"
poolqc,,"NA","No Pool"
fence,"Fence quality.",,
fence,,"GdPrv","Good Privacy"
fence,,"MnPrv","Minimum Privacy"
fence,,"GdWo","Good Wood"
fence,,"MnWw","Minimum Wood/Wire"
fence,,"NA","No Fence"
miscfeature,"Miscellaneous feature not covered in other categories.",,
miscfeature,,"Elev","Elevator"
miscfeature,,"Gar2","2nd Garage (if not described in garage section)"
miscfeature,,"Othr","Other"
miscfeature,,"Shed","Shed (over 100 SF)"
miscfeature,,"TenC","Tennis Court"
miscfeature,,"NA","None"
miscval,"$Value of miscellaneous feature.",,
mosold,"Month Sold (MM).",,
yrsold,"Year Sold (YYYY).",,
saletype,"Type of sale.",,
saletype,,"WD","Warranty Deed - Conventional"
saletype,,"CWD","Warranty Deed - Cash"
saletype,,"VWD","Warranty Deed - VA Loan"
saletype,,"New","Home just constructed and sold"
saletype,,"COD","Court Officer Deed/Estate"
saletype,,"Con","Contract 15% Down payment regular terms"
saletype,,"ConLw","Contract Low Down payment and low interest"
saletype,,"ConLI","Contract Low Interest"
saletype,,"ConLD","Contract Low Down"
saletype,,"Oth","Other"
salecondition,"Condition of sale.",,
salecondition,,"Normal","Normal Sale"
salecondition,,"Abnorml","Abnormal Sale - trade, foreclosure, short sale"
salecondition,,"AdjLand","Adjoining Land Purchase"
salecondition,,"Alloca","Allocation - two linked properties with separate deeds, typically condo with a garage unit"
salecondition,,"Family","Sale between family members"
salecondition,,"Partial","Home was not completed when last assessed (associated with New Homes)"
saleprice,"Sale price in USD.",,
